symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
CZ3,*N[C@H](C(*)=O)c1nc2c(Cl)nccc2n1CC |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
26T,*N[C@@H](Cc1csc2cc(C)sc12)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
SBI,*N[C@@H](CC[C@@H]1CNCCS1(=O)=O)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
FU9,*N[C@H](C(*)=O)c1c(C(=O)O)c(C)nn1C1CC1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
EMQ,*N[C@H](C(*)=O)c1c(C(=O)O)c(CC)nn1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
TL6,*N[C@H](C(*)=O)[C@@H]1C[NH2+]C[C@H]1C |$_R1;;;;_R2;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
4HN,*N[C@H](C(*)=O)[C@@H]1Cc2ccc(CC)cc2C(=O)O1 |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
ZBS,*N[C@H](C(*)=O)[C@@]1(C)Cc2cc(N(C)C)ccc2C(=O)O1 |$_R1;;;;_R2;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
ASY,*N[C@@H](C[C@]1(C#N)C[C@H]1S(C)(=O)=O)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
RBC,*N[C@@H](CC[C@H]1COCCC1(F)F)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
AU8,*N[C@H](C(*)=O)c1nc(C)c(-c2nc(C)co2)s1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
974,*N[C@H](C(*)=O)C1(S(=O)(=O)N2CCSCC2)CC1 |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
J89,*N[C@H](C(*)=O)C1(S(=O)(=O)N(C)C2CC2)CC1 |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
VFU,*N[C@H](C(*)=O)c1sc(C)cc1N |$_R1;;;;_R2;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
