symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
Me_Phe(4-Cl),CN([*])[C@@H](Cc1ccc(Cl)cc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
"Me_Phe(a,b-dehydro)",CN([*])/C(=C\c1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
G,[*]NCC([*])=O |$_R1;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Bn_Gly,[*]N(CC([*])=O)Cc1ccccc1 |$_R1;;;;_R2;;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Bn(4-Cl)_Gly,[*]N(CC([*])=O)Cc1ccc(Cl)cc1 |$_R1;;;;_R2;;;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Bn(4-OH)_Gly,Oc1ccc(CN([*])CC([*])=O)cc1 |$;;;;;;;_R1;;;_R2;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Bu_Gly,CCCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
iBu_Gly,CC(C)CN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Et_Gly,CCN([*])CC([*])=O |$;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
EtOEt_Gly,CCOCCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
HOCOCH2_Gly_ol,[*]N(CCO)CC([*])=O |$_R1;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
MeOEt_Gly,COCCN([*])CC([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
NH2Bu_Gly,[*]N(CCCCN)CC([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Pr_Gly,CCCN([*])CC([*])=O |$;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
PhEt_Gly,[*]N(CCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
PhPr_Gly,[*]N(CCCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
cHexCH2_Gly,[*]N(CC1CCCCC1)CC([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
isoamyl_Gly,CC(C)CCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
pentyl_Gly,CCCCCN([*])CC([*])=O |$;;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
3-pyridylethyl_Gly,[*]N(CCc1cccnc1)CC([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
2-pyridylmethyl_Gly,[*]N(CC([*])=O)Cc1ccccn1 |$_R1;;;;_R2;;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
d(N->O)Gly(allyl),C=CC[C@@H](O[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
GABA,[*]NCCCC([*])=O |$_R1;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
H,[*]N[C@@H](Cc1c[nH]c[nH+]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hph,[*]N[C@@H](CCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Hph,CN([*])[C@@H](CCc1ccccc1)C([*])=O |$;;_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
bHph,[*]N[C@H](CC([*])=O)Cc1ccccc1 |$_R1;;;;;_R2;;;;;;;;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hph(2-Cl),[*]N[C@@H](CCc1ccccc1Cl)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hph(3-Cl),[*]N[C@@H](CCc1cccc(Cl)c1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hph(4-Cl),[*]N[C@@H](CCc1ccc(Cl)cc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hse(Et),CCOCC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dHyp,O[C@H]1C[C@@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Hyp(Et),CCO[C@@H]1C[C@@H](C([*])=O)N([*])C1 |$;;;;;;;_R2;;;_R1;$|,H,OH,-,CycPeptMPDB,flexible,False,full
I,CC[C@H](C)[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dI,CC[C@@H](C)[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meI,CC[C@H](C)[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dI,CC[C@@H](C)[C@@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
(N->O)xiIle,CCC(C)[C@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
d(N->O)aIle,CC[C@H](C)[C@@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
K,[*]N[C@@H](CCCC[NH2+]([*]))C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
dK,[*]N[C@H](CCCCN[*])C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
meK,CN([*])[C@@H](CCCCN)C([*])=O |$;;_R1;;;;;;;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
